date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:14	97202/97202	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:46%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/widgets_chart.html	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/widgets_chart.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:35:14	93810/93810	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:47%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/widgets_list.html	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/widgets_list.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:35:15	83349/83349	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:43:13%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/widgets_social.html	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/widgets_social.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:35:16	82264/82264	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:47%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/widgets_statistic.html	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/widgets_statistic.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:35:16	71279/71279	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:47%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/widgets_weather.html	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/widgets_weather.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:35:17	140842/140842	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:57:15%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/widgets.html	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/widgets.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:35:18	62493/62493	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:23%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/email_index.html	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/email_index.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:35:19	59971/59971	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:34%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/map_google.html	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/map_google.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:35:19	60226/60226	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:43:03%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/map_vector.html	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/map_vector.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:35:20	107139/107139	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:13%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/component_modals.html	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/component_modals.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:35:22	60834/60834	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:57:08%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/component_sweatalert.html	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/component_sweatalert.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:35:25	70189/70189	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:17%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/component_notification.html	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/component_notification.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:35:26	72758/72758	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:18%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/ecommerce_products.html	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/ecommerce_products.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:35:27	64539/64539	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:20%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/ecommerce_cart.html	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/ecommerce_cart.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:35:27	63900/63900	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:21%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/ecommerce_products_edit.html	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/ecommerce_products_edit.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
